Typ;Produkt;"B x H[mm]";"Preis[Pos]";"Qm[ges.]";Kunden Nr.;Druck RG;Produkt-ID;Monat;Days;;;;;;;;;;;;12/31/2021
AU*;Floatglas grau 8 mm;2250 x 3210;238.26;14.44;10610;1/10/2019;1208;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2250 x 3210;623.88;129.96;10610;1/10/2019;1006;2019/01;1086.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;981.92;122.74;10610;1/10/2019;1446;2019/01;1086.00;;;;;;;;;;;;
AU*;PPG Clarvista Starphire 8 mm;2440 x 3300;6987.4;225.4;10124;1/10/2019;62427;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;1605 x 2250;589.12;115.52;10798;1/10/2019;1004;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;1298.55;119.13;10798;1/10/2019;6000;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;3210 x 2250;404.32;28.88;10798;1/10/2019;1010;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;3210 x 2250;303.24;28.88;10798;1/10/2019;1008;2019/01;1086.00;;;;;;;;;;;;
AU*;Ultra-clear 8mm;3210 x 2250;462.08;28.88;10798;1/10/2019;62445;2019/01;1086.00;;;;;;;;;;;;
AU*;Spiegel 6 mm New Generation bronze;3210 x 2250;357.39;21.66;10798;1/10/2019;1006;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 5 mm;1605 x 2250;210.8;28.88;10798;1/10/2019;1005;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1605 x 2250;150.16;28.88;10798;1/10/2019;1003;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm (matte Folie);1605 x 2250;577.6;28.88;10798;1/10/2019;6056;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;3210 x 1500;889.2;144.6;10831;1/10/2019;1004;2019/01;1086.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";1605 x 2250;353.8;36.1;10831;1/10/2019;1445;2019/01;1086.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;133.5;17.8;10831;1/10/2019;4054;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm;1000 x 2000;304;20;10426;1/15/2019;6000;2019/01;1081.00;;;;;;;;;;;;
AU*;Gothik weiß 4 mm;1610 x 2130;380.76;20.58;10426;1/15/2019;4044;2019/01;1081.00;;;;;;;;;;;;
AU*;Mastercarre weiß 4 mm;2000 x 1650;270.6;13.2;10426;1/15/2019;4102;2019/01;1081.00;;;;;;;;;;;;
AU*;Drahtglas weiß 7 mm;2040 x 3300;498;33.65;10426;1/15/2019;4023;2019/01;1081.00;;;;;;;;;;;;
AU*;Optiwhite 8 mm;3210 x 2250;2127.72;101.08;12122;1/15/2019;1063;2019/01;1081.00;;;;;;;;;;;;
AU*;Optiwhite 6 mm;3210 x 2550;2070.4;131.04;12122;1/15/2019;1062;2019/01;1081.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;773.33;122.74;11104;1/15/2019;1446;2019/01;1081.00;;;;;;;;;;;;
AU*;Drahtornament 187 weiß 7 mm;2040 x 2520;231.3;10.28;10419;1/15/2019;4026;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;1610 x 2250;35.3;3.62;10419;1/15/2019;1006;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1610 x 2250;17.81;3.65;10419;1/15/2019;1003;2019/01;1081.00;;;;;;;;;;;;
AU*;Altdeutsch K weiß 4 mm;1650 x 2160;180.84;7.12;10419;1/15/2019;4001;2019/01;1081.00;;;;;;;;;;;;
AU*;Mastercarre weiß 4 mm;2000 x 1650;130.68;6.6;10419;1/15/2019;4102;2019/01;1081.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 5 mm";2250 x 3210;1038.66;151.62;10610;1/15/2019;62303;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;1605 x 2250;899.64;101.08;12307;1/15/2019;1006;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;3300 x 2250;1232.7;104.02;12307;1/15/2019;1008;2019/01;1081.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;1542.08;115.52;11145;1/15/2019;6000;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1300 x 1600;782.42;147.68;11145;1/15/2019;1003;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 2 mm;1000 x 1600;80;16;10610;1/15/2019;1002;2019/01;1081.00;;;;;;;;;;;;
AU*;Matobel 2 mm;800 x 1600;26.88;2.56;10610;1/15/2019;62311;2019/01;1081.00;;;;;;;;;;;;
AU*;Matobel 2 mm;1200 x 1600;80.64;7.68;10610;1/15/2019;62311;2019/01;1081.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;1350.14;122.74;10251;1/21/2019;1446;2019/01;1075.00;;;;;;;;;;;;
AU*;Ornament 528 weiß 4 mm;1650 x 2160;56.96;7.12;10251;1/21/2019;4089;2019/01;1075.00;;;;;;;;;;;;
AU*;Mastercarre weiß 4 mm;1650 x 2000;237.6;13.2;10251;1/21/2019;4102;2019/01;1075.00;;;;;;;;;;;;
AU*;Altdeutsch K weiß 4 mm;1650 x 1600;105.6;5.28;10251;1/21/2019;4001;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";1610 x 2550;262.62;24.66;10251;1/21/2019;1445;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 3 mm";1610 x 2550;98.64;12.33;10251;1/21/2019;1447;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2550;1167.15;122.85;10798;1/21/2019;1446;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2550;868.1;81.9;10798;1/21/2019;1446;2019/01;1075.00;;;;;;;;;;;;
AU*;Lacobel 6 mm pure-white 9003;3210 x 2550;525.81;24.57;10798;1/21/2019;62422;2019/01;1075.00;;;;;;;;;;;;
AU*;Floatglas 5 mm;3210 x 2550;298.95;40.95;10798;1/21/2019;1005;2019/01;1075.00;;;;;;;;;;;;
AU*;Ornament 523 weiß 4 mm;1650 x 2160;89;17.8;10798;1/21/2019;4087;2019/01;1075.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;90.8;17.8;10798;1/21/2019;4054;2019/01;1075.00;;;;;;;;;;;;
AU*;Delta weiß 4 mm;1610 x 2130;469.9;34.3;10798;1/21/2019;4021;2019/01;1075.00;;;;;;;;;;;;
AU*;Barock weiß 4 mm;1650 x 2160;267;17.8;10798;1/21/2019;4120;2019/01;1075.00;;;;;;;;;;;;
AU*;Ornament 187 weiß 4 mm;1650 x 2160;44.14;7.12;10798;1/21/2019;4080;2019/01;1075.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;2250 x 3210;1067.78;209.38;10290;1/21/2019;1004;2019/01;1075.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;2250 x 3210;945.8;72.2;10290;1/21/2019;1010;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2250;1209.04;122.74;10772;1/21/2019;1446;2019/01;1075.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2550 x 3210;1161;122.85;10871;1/21/2019;1446;2019/01;1075.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;704.8;142.4;10949;1/24/2019;4054;2019/01;1072.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";1605 x 2550;1394.69;126.79;11207;1/24/2019;1446;2019/01;1072.00;;;;;;;;;;;;
AU*;VSG 6 mm;1000 x 2000;930;60;11514;1/24/2019;6000;2019/01;1072.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;1605 x 2550;889.5;122.7;11514;1/24/2019;1004;2019/01;1072.00;;;;;;;;;;;;
AU*;VSG 8 mm (0,76 mm Folie);2250 x 3210;320.56;14.44;12003;1/24/2019;6021;2019/01;1072.00;;;;;;;;;;;;
AU*;VSG 6 mm;1000 x 2000;594;60;11250;1/24/2019;6000;2019/01;1072.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;600 x 1605;360.62;70.08;11250;1/24/2019;1003;2019/01;1072.00;;;;;;;;;;;;
AU*;Floatglas 2 mm mit Papier;1000 x 1600;492.8;64;10730;1/24/2019;1002;2019/01;1072.00;;;;;;;;;;;;
AU*;Spiegel 6 mm;1605 x 2250;974.7;54.15;10730;1/24/2019;1406;2019/01;1072.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;1605 x 2250;346.56;28.88;10730;1/24/2019;1006;2019/01;1072.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;1605 x 2250;411.54;21.66;10730;1/24/2019;1010;2019/01;1072.00;;;;;;;;;;;;
AU*;STARPHIRE 19 mm;2440 x 3300;4004.9;40.25;10618;1/28/2019;62339;2019/01;1068.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2550 x 3210;3564.16;524.16;10772;1/28/2019;1006;2019/01;1068.00;;;;;;;;;;;;
AU*;Optishower 8 mm;3210 x 2250;1768.9;101.08;10772;1/28/2019;62459;2019/01;1068.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;1600 x 3210;477.9;154.2;12245;1/31/2019;1004;2019/01;1065.00;;;;;;;;;;;;
AU*;Drahtglas weiß 7 mm;2040 x 3350;510.21;61.47;12245;1/31/2019;4023;2019/01;1065.00;;;;;;;;;;;;
AU*;Drahtspiegelglas 7 mm safety;2140 x 3300;250.63;7.06;12245;1/31/2019;62281;2019/01;1065.00;;;;;;;;;;;;
AU*;Drahtornament 521 weiß 7 mm;2040 x 2520;148.04;10.28;12245;1/31/2019;4029;2019/01;1065.00;;;;;;;;;;;;
AU*;Drahtornament 523 weiß 7 mm;2040 x 3300;193.82;13.46;12245;1/31/2019;4039;2019/01;1065.00;;;;;;;;;;;;
AU*;Drahtornament 187 weiß 7 mm;2040 x 2520;129.52;10.28;12245;1/31/2019;4026;2019/01;1065.00;;;;;;;;;;;;
AU*;Floatglas 2 mm mit Papier;1000 x 1600;530.4;156;12245;1/31/2019;1002;2019/01;1065.00;;;;;;;;;;;;
AU*;VSG 8 mm;1605 x 2250;238.28;14.44;10107;1/31/2019;6001;2019/01;1065.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;114.08;7.22;10107;1/31/2019;6000;2019/01;1065.00;;;;;;;;;;;;
AU*;Ornament 528 weiß 4 mm;1650 x 2160;30.26;3.56;10107;1/31/2019;4089;2019/01;1065.00;;;;;;;;;;;;
AU*;Floatglas grau 4 mm;2250 x 3210;61.37;7.22;10610;1/31/2019;1204;2019/01;1065.00;;;;;;;;;;;;
AU*;Satinato G 6 mm;2250 x 3210;83.03;7.22;10610;1/31/2019;62329;2019/01;1065.00;;;;;;;;;;;;
AU*;VSG 8 mm;2250 x 3210;292.41;21.66;10610;1/31/2019;6001;2019/01;1065.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9005;2250 x 3210;216.6;14.44;10610;1/31/2019;62422;2019/01;1065.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9003;2250 x 3210;960.26;50.54;10610;1/31/2019;62422;2019/01;1065.00;;;;;;;;;;;;
AU*;Maschinenglas 4 mm;2250 x 3210;1715.58;194.94;10760;2/6/2019;1004;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 10 mm (0,76 mm matte Folie);2250 x 3210;1667.82;79.42;10760;2/6/2019;6022;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 10 mm (0,76 mm matte Folie);2550 x 3210;1375.92;65.52;10760;2/6/2019;6022;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 12 mm (0,76 mm matte Folie);2550 x 3210;1506.96;65.52;10760;2/6/2019;6023;2019/02;1059.00;;;;;;;;;;;;
AU*;Ornament 523 weiß 4 mm;1650 x 2160;160.2;35.6;10760;2/6/2019;4087;2019/02;1059.00;;;;;;;;;;;;
AU*;Floatglas bronce 6 mm;2250 x 3210;228.51;21.66;10760;2/6/2019;1106;2019/02;1059.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm bronze";2250 x 3210;314.07;21.66;10760;2/6/2019;1446;2019/02;1059.00;;;;;;;;;;;;
AU*;Madras Uadi 4 mm;2250 x 3210;844.74;21.66;10760;2/6/2019;1032;2019/02;1059.00;;;;;;;;;;;;
AU*;Satinato G 6 mm;2250 x 3210;429.6;36.1;10760;2/6/2019;62329;2019/02;1059.00;;;;;;;;;;;;
AU*;Spiegel grau 6 mm;2250 x 3210;314.07;21.66;10760;2/6/2019;1426;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 6 mm (0,76 mm Folie);2250 x 1605;200.37;10.83;11058;2/6/2019;6020;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 6 mm (0,76 mm Folie);1125 x 1605;33.49;1.81;11058;2/6/2019;6020;2019/02;1059.00;;;;;;;;;;;;
AU*;Guardian Brilliance 2 mm;1200 x 1585;315.8;7.6;11058;2/6/2019;1002;2019/02;1059.00;;;;;;;;;;;;
AU*;Pelz weiß 4 mm;1650 x 2160;26.7;3.56;11058;2/6/2019;62264;2019/02;1059.00;;;;;;;;;;;;
AU*;Barock bronce 4 mm;1650 x 2160;90.78;3.56;11058;2/6/2019;4119;2019/02;1059.00;;;;;;;;;;;;
AU*;Delta weiß 4 mm;1610 x 2130;52.48;3.43;11058;2/6/2019;4021;2019/02;1059.00;;;;;;;;;;;;
AU*;Floatglas grau 6 mm;2250 x 3210;90.25;7.22;10610;2/6/2019;1206;2019/02;1059.00;;;;;;;;;;;;
AU*;Floatglas grau 4 mm;2250 x 3210;61.37;7.22;10610;2/6/2019;1204;2019/02;1059.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9003 pure-white;2250 x 3210;274.36;14.44;10610;2/6/2019;62422;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 8 mm (matte Folie);2250 x 3210;649.8;36.1;10610;2/6/2019;6057;2019/02;1059.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";3210 x 2250;339.64;28.88;11094;2/6/2019;1445;2019/02;1059.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2250;112.49;7.22;11094;2/6/2019;1446;2019/02;1059.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;3210 x 2250;147.58;14.44;11094;2/6/2019;1006;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 6 mm;3210 x 2250;537.16;28.88;11094;2/6/2019;6000;2019/02;1059.00;;;;;;;;;;;;
AU*;Pelz weiß 4 mm;1600 x 1650;411.25;92.4;10798;2/6/2019;62264;2019/02;1059.00;;;;;;;;;;;;
AU*;Satinato G 4 mm;2250 x 3210;722.67;93.86;10798;2/6/2019;62328;2019/02;1059.00;;;;;;;;;;;;
AU*;VSG 8 mm;1605 x 2250;1343;72.2;12481;2/8/2019;6001;2019/02;1057.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;2368.78;245.48;12481;2/8/2019;1446;2019/02;1057.00;;;;;;;;;;;;
AU*;Floatglas bronce 8 mm;2250 x 3210;1319.08;101.08;10021;2/8/2019;1108;2019/02;1057.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;2250 x 3210;932.9;274.36;10021;2/8/2019;1003;2019/02;1057.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;2250 x 3300;852.88;208.04;10021;2/8/2019;1004;2019/02;1057.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;2250 x 3300;853.02;104.02;10021;2/8/2019;1008;2019/02;1057.00;;;;;;;;;;;;
AU*;Delta bronze 4 mm;1420 x 2160;1314;122.8;10021;2/8/2019;4021;2019/02;1057.00;;;;;;;;;;;;
AU*;Robax 4mm;1100 x 1954;817;8.6;10021;2/8/2019;1753;2019/02;1057.00;;;;;;;;;;;;
AU*;VSG 10 mm (0,76 mm Folie);2440 x 3660;3084.4;196.46;11242;2/12/2019;6022;2019/02;1053.00;;;;;;;;;;;;
AU*;Optishower 8 mm;2250 x 3210;1354.5;101.08;12114;2/12/2019;62459;2019/02;1053.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;2550 x 3210;483.2;81.9;12114;2/12/2019;1010;2019/02;1053.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2250 x 3210;441.9;129.96;12114;2/12/2019;1006;2019/02;1053.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2550 x 3210;445.6;131.04;12114;2/12/2019;1006;2019/02;1053.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2250;207.93;21.66;11219;2/15/2019;1446;2019/02;1050.00;;;;;;;;;;;;
AU*;VSG 8 mm;3210 x 2250;98.77;7.22;11219;2/15/2019;6001;2019/02;1050.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;3210 x 2250;59.2;7.22;11219;2/15/2019;1008;2019/02;1050.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;3210 x 2250;97.47;7.22;11219;2/15/2019;1010;2019/02;1050.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;3210 x 2250;88.8;14.44;11219;2/15/2019;1006;2019/02;1050.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;3210 x 2250;88.8;21.66;11219;2/15/2019;1004;2019/02;1050.00;;;;;;;;;;;;
AU*;Satinato G 8 mm;3210 x 2250;205.78;14.44;11219;2/15/2019;62330;2019/02;1050.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9005 schwarz;2250 x 3210;132.85;7.22;10419;2/15/2019;62422;2019/02;1050.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9003 pure white;2250 x 3210;176.89;7.22;10419;2/15/2019;62422;2019/02;1050.00;;;;;;;;;;;;
AU*;Spiegel 4 mm;2250 x 1605;511.2;43.32;10419;2/15/2019;1404;2019/02;1050.00;;;;;;;;;;;;
AU*;VSG 8 mm;1605 x 2550;134.98;8.18;10107;2/15/2019;6001;2019/02;1050.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2550;129.24;8.18;10107;2/15/2019;6000;2019/02;1050.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;2250 x 3210;667.24;202.16;12104;2/21/2019;1003;2019/02;1044.00;;;;;;;;;;;;
AU*;Weißglas 3 mm;2250 x 3210;1761.6;144.4;12104;2/21/2019;1003;2019/02;1044.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;335.76;21.66;11077;2/21/2019;6000;2019/02;1044.00;;;;;;;;;;;;
AU*;VSG 6 mm (matte Folie);1605 x 2250;144.4;7.22;11077;2/21/2019;6056;2019/02;1044.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;60.52;7.12;11077;2/21/2019;4054;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 528 weiß 4 mm;1650 x 2160;60.52;7.12;11077;2/21/2019;4089;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 521 weiß 4 mm;1650 x 2160;60.52;7.12;11077;2/21/2019;4086;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 504 weiß 4 mm;1650 x 2160;60.52;7.12;11077;2/21/2019;4083;2019/02;1044.00;;;;;;;;;;;;
AU*;Satinato 4 mm;1605 x 2250;118.4;7.22;11077;2/21/2019;62328;2019/02;1044.00;;;;;;;;;;;;
AU*;Madras Uadi 4 mm;1605 x 2250;324.9;7.22;11077;2/21/2019;1032;2019/02;1044.00;;;;;;;;;;;;
AU*;Pelz weiß 4 mm;1650 x 2160;307.6;28.48;10891;2/21/2019;62264;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 523 weiß 4 mm;1650 x 2160;38.45;3.56;10891;2/21/2019;4087;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 528 weiß 4 mm;1650 x 2160;76.9;7.12;10891;2/21/2019;4089;2019/02;1044.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;115.35;10.68;10891;2/21/2019;4054;2019/02;1044.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2550 x 3210;1002.4;131.04;10798;2/21/2019;1006;2019/02;1044.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;1605 x 2250;552.3;108.3;10798;2/21/2019;1004;2019/02;1044.00;;;;;;;;;;;;
AU*;Drahtglas weiß 7 mm;2040 x 2500;881.79;96.9;10798;2/21/2019;4023;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 178 weiß 4 mm;1650 x 2160;66.21;10.68;10798;2/21/2019;4078;2019/02;1044.00;;;;;;;;;;;;
AU*;Altdeutsch K weiß 4 mm;1650 x 2160;186.9;10.68;10798;2/21/2019;4001;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 504 weiß 4 mm;1650 x 2160;89;17.8;10798;2/21/2019;4083;2019/02;1044.00;;;;;;;;;;;;
AU*;Ornament 523 weiß 4 mm;1650 x 2160;89;17.8;10798;2/21/2019;4087;2019/02;1044.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 3 mm";1605 x 2550;150.3;20.45;10798;2/21/2019;1447;2019/02;1044.00;;;;;;;;;;;;
AU*;VSG 6 mm;1000 x 2000;324;20;12469;2/21/2019;6000;2019/02;1044.00;;;;;;;;;;;;
AU*;VSG 6 mm;1200 x 2140;416.3;25.7;12469;2/21/2019;6000;2019/02;1044.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;800 x 1605;1071.07;183.04;11514;2/21/2019;1003;2019/02;1044.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;600 x 1605;803.66;137.28;11514;2/21/2019;1003;2019/02;1044.00;;;;;;;;;;;;
AU*;Floatglas 2 mm mit Papier;1000 x 1600;633.6;96;10630;2/22/2019;1002;2019/02;1043.00;;;;;;;;;;;;
AU*;Reflexfreies Glas 2 mm;1200 x 1605;177.6;19.3;10630;2/22/2019;1002;2019/02;1043.00;;;;;;;;;;;;
AU*;Satinato G 4 mm;2250 x 3210;199.28;14.44;11503;2/22/2019;62328;2019/02;1043.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;2250 x 3210;49.82;7.22;11503;2/22/2019;1004;2019/02;1043.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;1000.28;122.74;10290;2/25/2019;1446;2019/02;1040.00;;;;;;;;;;;;
AU*;Floatglas 4 mm - AGC Qualität;2250 x 3210;1067.78;209.38;10290;2/25/2019;1004;2019/02;1040.00;;;;;;;;;;;;
AU*;LOW-E 4 mm;2250 x 3210;1618.11;194.94;10290;2/25/2019;1900;2019/02;1040.00;;;;;;;;;;;;
AU*;Floatglas 4 mm - Deckblatt -;2250 x 3210;36.82;7.22;10290;2/25/2019;1004;2019/02;1040.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;1513.05;119.13;12478;2/27/2019;6000;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;1605 x 2550;889.5;102.25;12478;2/27/2019;1006;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1610 x 2250;32.58;7.24;11055;2/27/2019;1003;2019/02;1038.00;;;;;;;;;;;;
AU*;Listral weiß 4 mm;1650 x 2160;55.18;3.56;11055;2/27/2019;4064;2019/02;1038.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;74.76;10.68;11055;2/27/2019;4054;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;2250 x 3210;121.29;21.66;11055;2/27/2019;1004;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2250 x 3210;60.65;7.22;11055;2/27/2019;1006;2019/02;1038.00;;;;;;;;;;;;
AU*;Satinato G 4 mm;2250 x 3210;96.03;7.22;11055;2/27/2019;62328;2019/02;1038.00;;;;;;;;;;;;
AU*;Drahtglas weiß 7 mm;2040 x 3300;87.49;6.73;11055;2/27/2019;4023;2019/02;1038.00;;;;;;;;;;;;
AU*;Lacobel 6 mm 9010;2250 x 3210;131.04;7.22;11055;2/27/2019;62422;2019/02;1038.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 3 mm";2250 x 3210;64.98;7.22;11055;2/27/2019;1447;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;2250 x 3210;919.8;101.08;10945;2/27/2019;1008;2019/02;1038.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1200 x 1605;433.87;82.99;10834;3/6/2019;1003;2019/03;1031.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";1605 x 2550;380.56;32.72;10834;3/6/2019;1446;2019/03;1031.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";1605 x 2550;143.16;16.36;10834;3/6/2019;1445;2019/03;1031.00;;;;;;;;;;;;
AU*;Matoflex 2 mm;1000 x 1600;742.56;62.4;10110;3/7/2019;62311;2019/03;1030.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";3210 x 2250;1250.69;122.74;10419;3/7/2019;1446;2019/03;1030.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;1298.55;119.13;10798;3/7/2019;6000;2019/03;1030.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2550 x 3210;1167.15;122.85;10798;3/7/2019;1446;2019/03;1030.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";2250 x 3210;1407.9;187.72;10798;3/7/2019;1445;2019/03;1030.00;;;;;;;;;;;;
AU*;Lacobel 6 mm pure white 9003;3210 x 2250;463.53;21.66;10798;3/7/2019;62422;2019/03;1030.00;;;;;;;;;;;;
AU*;Satinato G 6 mm;3210 x 2250;270.75;21.66;10798;3/7/2019;62329;2019/03;1030.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;3210 x 2250;337.86;64.98;10798;3/7/2019;1003;2019/03;1030.00;;;;;;;;;;;;
AU*;PPG Clarvista 8 mm;2440 x 3300;5860.4;225.4;10124;3/7/2019;62426;2019/03;1030.00;;;;;;;;;;;;
AU*;Spiegel 8 mm NG;2250 x 3210;1520.48;93.86;10649;3/14/2019;1488;2019/03;1023.00;;;;;;;;;;;;
AU*;VSG 8 mm;2250 x 3210;357.39;21.66;10649;3/14/2019;6001;2019/03;1023.00;;;;;;;;;;;;
AU*;VSG 6 mm;2250 x 3210;394.2;28.88;10649;3/14/2019;6000;2019/03;1023.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;264.24;21.66;10649;3/14/2019;1446;2019/03;1023.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;2250 x 3210;97.47;7.22;10649;3/14/2019;1008;2019/03;1023.00;;;;;;;;;;;;
AU*;VSG 10 mm;2250 x 3210;162.45;7.22;10649;3/14/2019;6004;2019/03;1023.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";1605 x 2550;552.2;40.9;10730;3/14/2019;1446;2019/03;1023.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";1605 x 2550;445.8;40.9;10730;3/14/2019;1445;2019/03;1023.00;;;;;;;;;;;;
